id,title,normalized_title,level,category,company,location,salary,full_time,part_time,internship,temporary,updated,collected_at
-4817301601387469239,Manual QA Engineer,manual qa engineer,Middle,QA Manual Engineer,Nestlogic,Київ,,1,0,0,0,2026-05-12,2026-05-16
-3458192110405384093,Data Analyst,data analyst,Middle,Data Analyst,AMO,Київ,,1,0,0,0,2026-05-08,2026-05-16
-4027389093478445433,General QA Engineer,general qa engineer,Middle,QA Manual Engineer,3Shape Ukraine,Київ,,1,0,0,0,2026-04-28,2026-05-16
-835801380647481718,Business Data Analyst (SQL),business data analyst sql,Middle,Data Analyst,UKRSIBTECH,Київ,,1,0,0,0,2026-04-30,2026-05-16
897756090181516471,Senior Backend Software Engineer,senior backend software engineer,Senior,Backend Developer,Fiverr,Київ,,1,0,0,0,2026-04-24,2026-05-16
2608554795850556503,QA Engineer / Tester,qa engineer tester,Middle,QA Manual Engineer,Qencode,Київ,,1,0,0,0,2026-05-01,2026-05-16
4732462100631800398,Senior Platform Engineer,senior platform engineer,Senior,DevOps / SRE Engineer,"DraftKings, Inc.",Київ,,1,0,0,0,2026-04-20,2026-05-16
-5620681027943128606,Senior Frontend Developer(Platform team),senior frontend developerplatform team,Senior,Frontend Developer,FIVERR,Київ,,1,0,0,0,2026-05-11,2026-05-16
6754698518679168841,C++/ArduPilot Backend Engineer,c++ ardupilot backend engineer,Middle,Backend Developer,NDA Recruitment,Київ,,1,0,0,0,2026-05-01,2026-05-16
-5420357795273212845,"AI Engineer (LLM, RAG, Backend)",ai engineer llm rag backend,Middle,ML / AI Engineer,Foxteam Digital,Київ,,1,0,0,0,2026-05-06,2026-05-16
-5136422595716675623,"Бізнес-аналітик (ERP, фінанси, облік ПДВ)",бізнес-аналітик erp фінанси облік пдв,Middle,Business Analyst,ViyarTech,Київ,,1,0,0,0,2026-05-14,2026-05-16
4650194412525451766,Machine Learning Engineer,machine learning engineer,Middle,ML / AI Engineer,WiX,Київ,,1,0,0,0,2026-04-20,2026-05-16
